ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
SouthernUte,Southern Ute,North America,38.0,-109.0,utee1244,ute
Tubatulabel,Tübatulabal,North America,35.327,-117.163,tuba1278,tub
Serrano,Serrano,North America,33.9479,-116.772,serr1255,ser
Cahuilla,Cahuilla,North America,33.5324,-116.691,cahu1264,chl
Cupeno,Cupeño,North America,33.3148,-116.515,cupe1243,cup
Luiseno,Luiseño,North America,33.3184,-116.939,luis1253,lui
Gabrielino,Tongva,North America,34.1,-118.11,tong1329,ser
Hopi,Hopi,North America,35.7653,-110.535,hopi1249,hop
Papago,O'odham,North America,31.7973,-111.995,toho1245,ood
PimaDeOnavas,Pima de Onavas,North America,28.654,-108.326,pima1248,ood
Guarijio,Guarijío,North America,27.8685,-108.437,huar1255,var
Cora,Cora,North America,22.4099,-104.467,elna1235,crn
ClassicalAztec,Classical Nahuatl,North America,19.72,-96.97,clas1250,nci
AztecTetelcingo,Tetelcingo Nahuatl,North America,18.8854,-98.893,tete1251,nhg
AztecZacapoaxtla,Zacapoaxtla Nahuatl,North America,20.1554,-97.5556,high1278,azz
Kitanemuk,Kitanemuk,North America,,,kita1252,ser
Kiowa,Kiowa,North America,34.9403,-98.9042,kiow1266,kio
SanJuanPuebloTewa,San Juan Pueblo Tewa,North America,,,sanj1276,tew
AztecPochutla,Pochutec,North America,15.735073,-96.468076,poch1244,xpo
Coahuilteco,Coahuilteco,North America,28.2589,-97.89,coah1252,xcw
Comecrudo,Comecrudo,North America,,,come1253,
Cotaname,Cotaname,North America,25.9116,-97.3956,coto1248,xcn
Karankawa,Karankawa,North America,28.9082,-96.4856,kara1289,zkk
ProtoKeresan,Proto-Keresan,,,,kere1287,
Acoma,Acoma,North America,,,acom1246,kjq
SantaAna,Santa Ana,North America,,,sant1426,
SantaDomingo,Santa Domingo,North America,,,sant1425,
Zuni,Zuni,North America,35.0056,-108.782,zuni1245,zun
Kawki,Kawki,South America,-12.72,-75.91,cauq1239,
Jaqaru,Jaqaru,South America,-12.74,-75.81,jaqa1244,jqr
Atalla,Huancavelica,South America,-12.76,-74.87,huan1249,
Azuay,Azuay,South America,-2.48,-78.97,azua1234,
Curva,Apolobamba,South America,-14.4,-68.79,apol1241,
Apuri,Apurí-Madean-Viñac,South America,-12.89,-75.81,apur1253,
Ayacucho,Ayacucho,South America,-13.85,-74.32,ayac1239,quy
Huangascar,Chocos-Huangáscar,South America,-12.9,-75.83,azan1238,
Cacra-Hongos,Cacra-Hongos,South America,-12.81,-75.78,cacr1238,
Chetilla,Cajamarca,South America,-7.09,-78.32,caja1238,qvc
Chachapoyas,Chachapoyas,South America,-6.27,-77.66,chac1250,quk
Yanac,Corongo,South America,-8.58,-77.99,coro1247,qwa
Cuzco,Cuzco,South America,-14.09,-71.77,cusc1236,quz
Apurimac,Eastern-Apurímac,South America,-13.89,-73.14,east2551,qve
HuarazHuailas,Huaraz-Huailas,South America,-9.52,-77.52,huai1241,
Huallaga,Huallaga-Huánuco,South America,-9.57,-75.59,hual1241,qub
Imbabura,Imbabura,South America,-0.23,-78.26,imba1240,qvi
Putumayo,Colombian Inga,South America,1.17,-76.96,inga1252,inb
Jauja,Jauja-Huanca,South America,-11.67,-75.28,jauj1238,qxw
Huanca,Huaylla-Huanca,South America,-11.77,-75.49,huay1241,qvw
Inkawasi,Lambayeque,South America,-6.17,-79.47,lamb1276,quf
Maragua,Chuquisaca,South America,-18.96,-65.78,sout2991,quh
Napo,Napo ,South America,-0.04,-76.23,napo1242,qvo
Troje,Chimborazo,South America,-1.37,-78.85,nort3351,
Pacaraos,Pacaraos,South America,-11.14,-76.73,paca1245,qvp
Puno,Puno,South America,-14.61,-70.21,puno1238,qxp
Lamas,San Martín,South America,-6.42,-76.52,sanm1289,qvs
SanPedro,Liscay-San Pedro,South America,-13.09,-75.74,sanp1258,
Santiagueno,Santiago del Estero,South America,-27.79,-64.25,sant1432,qus
Pastaza,Pastaza,South America,-4.79,-76.53,sout2990,qup
Pocona,Cochabamba,South America,-17.67,-65.42,coch1274,
Lincha-Tana,Lincha-Tana,South America,-12.8,-75.66,tana1291,
Serena,Tena,South America,-0.76,-77.54,tena1240,quw
Tarma,Yaru,,-11.42,-75.68,yaru1256,
Laraos,Laraos,South America,-13.11,-75.77,yauy1235,qux
Chipaya,Chipaya,South America,-18.74,-67.9,chip1262,cap
Iruhito,Iruhito,South America,-16.74,-68.8,uruu1244,ure
Badga,Badga,Eurasia,11.3094,76.5974,bada1257,bfq
Betta_Kurumba,Betta_Kurumba,Eurasia,11.6385,76.6064,bett1235,xub
Brahui,Brahui,Eurasia,29.04,66.56,brah1256,brh
Gondi,Gondi,Eurasia,18.1632,81.3842,nort2702,gno
Kodava,Kodava,Eurasia,12.2443,75.9161,koda1255,kfa
Kolami,Kolami,Eurasia,20.1022,78.4934,nort2699,kfb
Kota,Kota,Eurasia,11.4978,76.9387,kota1263,kfe
Koya,Koya,Eurasia,17.6772,81.2096,koya1251,kff
Kurukh,Kurukh,Eurasia,24.4644,86.4657,kuru1302,kru
Kuwi,Kuwi,Eurasia,18.8832,83.7552,kuvi1243,kxv
Malto,Malto,Eurasia,24.8124,87.6432,saur1249,mjt
Ollari_Gadba,Ollari_Gadba,Eurasia,18.5968,82.7586,pott1240,gdb
Parji,Parji,Eurasia,19.0534,82.4881,duru1236,pci
Toda,Toda,Eurasia,11.4184,77.0168,toda1252,tcx
Tulu,Tulu,Eurasia,12.8114,75.2651,tulu1258,tcy
Yeruva,Yeruva,Eurasia,12.3231,75.6265,ravu1237,yea
Tupinamba,Tupinambá,South America,-22.807778,-42.106389,tupi1273,tpn
Kokama,Kokama,South America,,,coca1260,
Baraba,Baraba Tatar,Eurasia,,,bara1273,
CrimeanTatar,Crimean Tatar,Eurasia,45.0,34.08,crim1257,crh
Dolgan,Dolgan,Eurasia,71.1083,94.2936,dolg1241,dlg
Gagauz,Gagauz,Eurasia,44.5988,28.0277,gaga1249,gag
KarachayBalkar,Karachay Balkar,Eurasia,43.565,42.2606,kara1465,krc
Karaim,Karaim,Eurasia,54.5534,25.1054,kara1464,kdr
KaraKalpak,Karakalpak,Eurasia,39.98,63.3223,kara1467,kaa
Khakas,Khakas,Eurasia,50.7393,107.169,khak1248,kjh
Khalaj,Khalaj,Eurasia,34.4224,50.3222,turk1303,klj
Kirghiz,Kirghiz,Eurasia,42.0,74.0,kirg1245,kir
Kumyk,Kumyk,Eurasia,43.0,47.0,kumy1244,kum
MiddleChulym,Middle Chulym,Eurasia,,,midd1324,
Nogai,Nogai,Eurasia,43.5917,46.6618,noga1249,nog
NorthAltai,North Altay,Eurasia,50.8998,88.0672,nort2686,atv
OldUyghur,Old Turkic,Eurasia,,,oldu1238,oui
Salar,Salar,Eurasia,35.5457,102.819,sala1264,slr
SarygYugur,Saryg Yugur,Eurasia,39.0548,99.3112,west2402,ybe
Shor,Shor,Eurasia,52.3261,88.4344,shor1247,cjs
SouthAltai,South Altay,Eurasia,50.1347,86.8705,sout2694,alt
Tatar,Kazan Tatar,Eurasia,,,midd1325,
Tofa,Tofa,,,,tofa1248,
Turkish,Turkish,,,,anat1259,
Turkmen,Turkmen,Eurasia,37.0872,59.1757,turk1304,tuk
Tuvan,Tuvan,Eurasia,51.7,94.36667,tuvi1240,tyv
Uighur,Uyghur,Eurasia,43.67,79.75,uigh1240,uig
Uzbek,Uzbek,,,,uzbe1247,uzb
Lyngngam,Lyngngam,Eurasia,25.35,91.05,lyng1241,lyg
Palaung,Palaung,Eurasia,23.6729,97.7972,shwe1236,pll
PnarJaintia,PnarJaintia,Eurasia,,,jain1238,
WarLamin,WarLamin,Eurasia,25.1154,91.6266,warj1242,aml
OldJapanese,Old Japanese,Eurasia,34.68333,135.8,oldj1239,ojp
Aichi,Aichi,Eurasia,,,gifu1238,
Akita,Akita,Eurasia,,,akit1240,
Aomori,Aomori,Eurasia,,,tsug1237,
Chiba,Chiba,Eurasia,,,chib1248,
Fukushima,Fukushima,Eurasia,,,fuku1243,
Gifu,Gifu,Eurasia,,,gifu1238,
Gunma,Gunma,Eurasia,,,gunm1237,
Hokkaido,Hokkaido,Eurasia,,,hokk1243,
Ibaraki,Ibaraki,Eurasia,,,ibar1242,
Iwate,Iwate,Eurasia,,,kese1237,
Kanagawa,Kanagawa,Eurasia,,,kana1290,
Miyagi,Miyagi,Eurasia,,,send1240,
Nagano,Nagano,Eurasia,,,naga1408,
Niigata,Niigata,Eurasia,,,niig1237,
Saitama,Saitama,Eurasia,,,chic1269,
Shizuoka,Shizuoka,Eurasia,,,shiz1237,
Tochigi,Tochigi,Eurasia,,,toch1258,
Tokyo,Tokyo,Eurasia,,,toky1238,
Yamagata,Yamagata,Eurasia,,,yama1262,
Yamanashi,Yamanashi,Eurasia,,,yama1263,
Hachijyo,Hachijyo,Eurasia,33.109444,139.791389,hach1239,
Fukuoka,Fukuoka,Eurasia,,,chik1251,
Kagoshima,Kagoshima,Eurasia,28.20991,129.45346,nort2935,ryn
Kumamoto,Kumamoto,Eurasia,,,kuma1281,
Miyazaki,Miyazaki,Eurasia,,,miya1258,
Nagasaki,Nagasaki,Eurasia,,,naga1405,
Oita,Oita,Eurasia,,,oita1237,
Saga,Saga,Eurasia,,,saga1265,
Naze,Naze,Eurasia,,,naze1238,
Okinawa,Okinawa,,,,okin1244,
Hateruma,Hateruma,Eurasia,24.059,123.78,hate1238,
Hirara,Hirara,Eurasia,,,miya1260,
Ikema,Ikema,Eurasia,24.93149,125.245,ikem1235,
Irafu,Irafu,Eurasia,24.831088,125.18956,irab1238,
Ishigaki,Ishigaki,Eurasia,,,ishi1240,
Taketomi,Taketomi,Eurasia,,,take1256,
Tarama,Tarama,Eurasia,24.6584,124.6998,tara1319,
Yonaguni,Yonaguni,Eurasia,24.44997,122.99075,yona1241,yoi
Ehime,Ehime,Eurasia,,,iyob1237,
Fukui,Fukui,Eurasia,,,fuku1241,
Hiroshima,Hiroshima,Eurasia,,,hiro1237,
Hyogo,Hyogo,Eurasia,,,kobe1244,
Ishikawa,Ishikawa,Eurasia,,,kana1289,
Kagawa,Kagawa,Eurasia,,,kaga1258,
Kochi,Kochi,Eurasia,,,hata1244,
Kyoto,Kyoto,Eurasia,,,kyot1238,
Mie,Mie,Eurasia,,,miee1237,
Okayama,Okayama,Eurasia,,,okay1237,
Osaka,Osaka,Eurasia,,,osak1237,
Shiga,Shiga,Eurasia,,,shig1237,
Shimane,Shimane,Eurasia,,,izum1237,
Tokushima,Tokushima,Eurasia,,,toku1245,
Tottori,Tottori,Eurasia,,,tott1237,
Toyama,Toyama,Eurasia,,,toya1237,
Wakayama,Wakayama,Eurasia,,,waka1279,
Yamaguchi,Yamaguchi,Eurasia,,,yama1261,
Bela,Bela,Eurasia,24.45,98.6,pela1242,bxd
Phon,Phon,Eurasia,25.3248194,97.3544031,hpon1238,hpo
WrittenBurmese,Written_Burmese,Eurasia,21.16,94.90,oldb1235,obr
Zaiwa,Zaiwa,Eurasia,24.45,98.6,zaiw1241,atb
MiddleChinese,Middle Chinese,,34.27,108.9,midd1344,
CogtseSitu,Cogtse (Situ),,31.67,102.29,maer1238,
BragbarSitu,Brag-bar (Situ),,31.82,101.91,maer1238,
Japhug,Japhug,,32.21,101.96,dgon1234,
Zbu,Zbu,,32.22,101.61,zbua1234,
teiwa,Teiwa,Papunesia,-8.37662,124.174,teiw1235,twe
abui,Abui,Papunesia,-8.31058,124.588,abui1241,abz
protoalorpantar,Alor-Pantar,,,,alor1249,
blagar,Blagar,Papunesia,-8.31787,124.251,blag1240,beu
kamang,Kamang,Papunesia,-8.26897,124.792,kama1365,woi
wersing,Wersing,Papunesia,-8.33936,124.932,wers1238,kvw
kaera,Kaera,Papunesia,-8.3287,124.0177,kaer1234,jka
westernpantar,Western Pantar,Papunesia,-8.52787,124.057,lamm1241,lev
kui,Kui,Papunesia,,,kuii1254,kvd
adang,Adang,Papunesia,-8.18958,124.448,adan1251,adn
sawila,Sawila,Papunesia,-8.29105,125.078,sawi1256,swt
nedebang,Nedebang,Papunesia,-8.28776,124.192,nede1245,nec
klon,Klon,Papunesia,-8.40688,124.429,kelo1247,kyo
Ak,Akuntsú,South America,-12.8322,-60.9716,akun1241,aqz
Ar,Aruá,South America,-12.1186,-62.4357,arua1261,arx
Gv,Gavião,South America,-10.7235,-61.6752,gavi1246,gvo
Ju,Jurúna,South America,-10.9354,-53.3472,juru1256,jur
Ka,Káro,South America,-10.3342,-61.5691,karo1305,arr
Kt,Karitiána,South America,-9.37937,-64.1522,kari1311,ktn
Ku,Kuruáya,South America,-3.09561,-52.2303,kuru1309,kyr
Ma,Makuráp,South America,-11.8701,-64.3201,maku1278,mpu
Me,Mekéns,South America,-13.054,-62.0927,saki1248,skf
Mu,Mundurukú,South America,-8.41095,-57.691,mund1330,myu
Pt,Parintintín,South America,,,pari1258,
Pu,Puruborá,South America,-11.4226,-62.4358,puru1264,pur
Sa,Salamãy,South America,-12.0499,-61.25,sala1273,mnd
Tu,Tuparí,South America,-11.8884,-62.2544,tupa1250,tpr
Xi,Xipáya,South America,-4.133,-49.948,xipa1240,xiy
Zo,Zoró,South America,,,zoro1244,
Didra,Didra,Eurasia,14.57,108.11,todr1244,tdr
KahoChil,KahoChil,Eurasia,,,chil1279,
MBunong,M.Bunong,Eurasia,11.52,107.34,maaa1253,cma
MDip,M.Dip,Eurasia,11.52,107.34,maaa1253,cma
Oy,Oy,Eurasia,15.42,106.66,oyyy1238,oyb
Sre,Sre,Eurasia,11.64436,108.05721,sree1244,kpm
Tariang,Tariang,Eurasia,16.53,106.10,tali1257,tdf
Katu,Katu,,,,katu1272,
Kui,Kui,Eurasia,,,kuyy1240,kdt
LaoKatu,Lao-Katu,Eurasia,15.79,107.17,west2398,kuf
Nge,Nge,Eurasia,15.62109,106.8773,ngeq1245,ngt
Pakoh,Pakoh,Eurasia,16.44399,107.12868,paco1243,pac
So,So,Eurasia,,,sooo1254,sss
Taoi,Taoi,Eurasia,15.9083,106.87347,lowe1395,tto
Tri,Tri,Eurasia,,,trii1240,
KSurin,K.Surin,Eurasia,14.46743,103.86313,nort2684,kxm
Bit,Bit,Eurasia,21.44574,102.03513,bitt1240,bgk
Khang,Khang,Eurasia,21.66243,103.73637,khan1274,kjm
Ksinmul,Ksinmul,Eurasia,21.02809,104.0259,puoc1238,puo
Mlabri,Mlabri,Eurasia,18.46712,101.03731,mlab1235,mra
Phong,Phong,Eurasia,19.96217,104.08797,phon1246,pnx
Bugan,Bugan,Eurasia,23.61242,104.96286,buga1247,bbh
Mang,Mang,Eurasia,22.37722,103.14238,mang1378,zng
Mon,Mon,Eurasia,15.81271,97.89369,monn1252,mnw
Nyakur,Nyakur,Eurasia,15.89091,101.51465,nyah1250,
Bonda,Bonda,Eurasia,19.15124,83.81415,bond1245,bfw
Juang,Juang,Eurasia,21.26064,85.58452,juan1238,jun
Kharia,Kharia,Eurasia,22.35712,84.39219,khar1287,khr
Korku,Korku,Eurasia,21.83579,77.55409,kork1243,kfq
Mundari,Mundari,Eurasia,22.5517,85.09258,mund1320,unr
Parengi,Parengi,Eurasia,19.07501,83.97234,pare1266,pcj
Santali,Santali,Eurasia,23.9076,87.11775,sant1410,sat
Sora,Sora,Eurasia,19.12127,84.19005,sora1254,srb
Car,Car,Eurasia,9.18853,92.76706,carn1240,caq
Nancawri,Nancawri,Eurasia,7.94812,93.39208,nanc1247,ncb
Deang,De'ang,Eurasia,,,ruch1235,
Hu,Hu,Eurasia,23.37,101.75,huuu1240,huo
Rumai,Rumai,Eurasia,23.13363,96.67992,ruma1248,rbb
Chong,Chong,Eurasia,12.7267,102.232,chon1284,cog
ChongH,Chong-H,Eurasia,12.7267,102.232,chon1284,cog
Kasong,Kasong,Eurasia,12.87518,102.16769,cent2314,cog
Samre,Samre,Eurasia,13.47899,103.978,somr1240,sxm
finnish,Finnish,,62,25,finn1318,fin
northkarelian,North Karelian,,64,32,kare1335,krl
olonetskarelian,Olonets Karelian,,61,33,livv1243,olo
veps,Veps,,60,35,veps1250,vep
estonian,Estonian,,59,26,esto1258,ekk
livonian,Livonian,,57.4,21.5,livv1244,liv
southernsami,Southern Sami,,64.67,16.75,sout2674,sma
lulesami,Lule Sami,,68,16.5,lule1254,smj
northernsami,Northern Sami,,69,24,nort2671,sme
inarisami,Inari Sami,,68.5,27,inar1241,smn
skoltsami,Skolt Sami,,69.5,28.67,skol1241,sms
kildinsami,Kildin Sami,,68,35,kild1236,sjd
hillmari,Hill Mari,,56.33,46.33,west2392,mrj
meadowmari,Meadow Mari,,57,49.5,east2328,mhr
moksha,Moksha,,54,44,moks1248,mdf
hungarian,Hungarian,,47,20,hung1274,hun
northernkhanty,Northern Khanty,,65,65,khan1273,kca
northernmansi,Northern Mansi,,62,62,mans1258,mns
northernselkup,Northern Selkup,,65,82,selk1253,sel
tundranenets,Tundra Nenets,,70,76,nene1249,yrk
forestenets,Forest Enets,,70,88.2,fore1265,enf
bengali,Bengali,,24,90,beng1280,ben
hindi,Hindi,,25,77,hind1269,hin
northernpashto,Northern Pashto,,34,71.33,nort2646,pbu
westernfarsi,Western Farsi,,28.66,55.16,west2369,pes
northernkurdish,Northern Kurdish,,37,43,nort2641,kmr
ossetian,Ossetian,,43,44,osse1243,oss
armenian,Armenian,,40,45,nucl1235,hye
moderngreek,Modern Greek,,39,22,mode1248,ell
standardalbanian,Standard Albanian,,41,20,alba1267,sqi
bulgarian,Bulgarian,,42.5,25,bulg1262,bul
croatian,Croatian,,45.5,16.5,croa1245,hrv
slovene,Slovene,,46,14.5,slov1268,slv
slovak,Slovak,,49,20,slov1269,slk
czech,Czech,,49.87,15.1,czec1258,ces
polish,Polish,,52,20,poli1260,pol
ukrainian,Ukrainian,,49,33,ukra1253,ukr
belarusian,Belarusian,,54,28,bela1254,bel
russian,Russian,,56,38,russ1263,rus
lithuanian,Lithuanian,,55,24,lith1251,lit
latvian,Latvian,,57,24,latv1249,lav
icelandic,Icelandic,,65,-17,icel1247,isl
norwegianbokmal,Norwegian (Bokmål),,61,8,norw1258,nor
swedish,Swedish,,60,15,swed1254,swe
danish,Danish,,56,10,dani1285,dan
german,German,,52,10,stan1295,deu
dutch,Dutch,,52.5,6,dutc1256,nld
english,English,,52,0,stan1293,eng
irish,Irish,,53,-8,iris1253,gle
welsh,Welsh,,52,-3,wels1247,cym
breton,Breton,,48,-3,bret1244,bre
latin,Latin,,41.90,12.45,lati1261,lat
french,French,,48,2,stan1290,fra
spanish,Spanish,,40,-4,stan1288,spa
portuguese,Portuguese,,39,-8,port1283,por
turkish,Turkish,,39,35,nucl1301,tur
northazerbaijani,North Azerbaijani,,40.98,46.47,nort2697,azj
northernuzbek,Northern Uzbek,,43.75,59.23,nort2690,uzn
kazakh,Kazakh,,41.87,65.77,kaza1248,kaz
bashkir,Bashkir,,53,58,bash1264,bak
tatar,Tatar,,56,49.5,tata1255,tat
sakha,Sakha,,62,130,yaku1245,sah
chuvash,Chuvash,,55.5,47.5,chuv1255,chv
khalkhamongolian,Khalkha Mongolian,,48.32,106.29,halh1238,khk
buryat,Buryat,,51.83,107.6,buri1258,bua
kalmyk,Kalmyk,,46.33,44.25,kalm1243,xal
evenki,Evenki,,56,125,even1259,evn
manchu,Manchu,,49.5,127.5,manc1252,mnc
nanai,Nanai,,49.5,137,nana1257,gld
ket,Ket,,64,87,kett1243,ket
northernyukaghir,Northern Yukaghir,,69,155,nort2745,ykg
southernyukaghir,Southern Yukaghir,,65.75,150.83,sout2750,yux
itelmen,Itelmen,,57,157.5,itel1242,itl
chukchi,Chukchi,,67,-173,chuk1273,ckt
nivkh,Nivkh,,53.33,142,gily1242,niv
korean,Korean,,37.5,128,kore1280,kor
japanese,Japanese,,37,140,nucl1643,jpn
aleut,Aleut,,54,-166,aleu1260,ale
centralsiberianyupik,Central Siberian Yupik,,63.2,-170.2,cent2128,ess
kalaallisut,Kalaallisut,,64,-51,kala1399,kal
kannada,Kannada,,14,76,nucl1305,kan
malayalam,Malayalam,,10,76.5,mala1464,mal
tamil,Tamil,,11,78,tami1289,tam
telugu,Telugu,,16,79,telu1262,tel
burushaski,Burushaski,,36.5,74.5,buru1296,bsk
georgian,Georgian,,42,44,nucl1302,kat
basque,Basque,,43,-3,basq1248,eus
